date,mktrf,smb,hml,rf,umd
2020-12-24,0.0023,-0.004,-0.0019,0.0,0.0021
2020-12-28,0.0049,-0.0073,0.0036,0.0,-0.0048
2020-12-29,-0.0039,-0.0152,0.0024,0.0,-0.0041
2020-12-30,0.0027,0.0101,0.0006,0.0,-0.0024
2020-12-31,0.004,-0.0086,0.0045,0.0,-0.0059
2021-01-04,-0.0141,0.0021,0.0059,0.0,-0.0003
2021-01-05,0.0086,0.0121,0.005,0.0,-0.0072
2021-01-06,0.0079,0.0214,0.0394,0.0,-0.0257
2021-01-07,0.0176,0.0032,-0.0082,0.0,0.0156
2021-01-08,0.0051,-0.0075,-0.0139,0.0,0.0085
2021-01-11,-0.0052,0.0025,0.0126,0.0,-0.0093
2021-01-12,0.0037,0.0128,0.0124,0.0,-0.007
2021-01-13,0.0007,-0.0094,-0.0045,0.0,0.0043
2021-01-14,-0.0012,0.0202,0.0112,0.0,-0.0113
2021-01-15,-0.0086,-0.0049,-0.0073,0.0,0.0059
2021-01-19,0.0092,0.0088,-0.0079,0.0,0.0062
2021-01-20,0.0127,-0.0039,-0.0111,0.0,0.0129
2021-01-21,-0.0004,-0.0054,-0.0096,0.0,0.0122
2021-01-22,-0.0007,0.0186,-0.0011,0.0,0.0084
2021-01-25,0.0029,-0.0003,-0.0043,0.0,0.0034
2021-01-26,-0.0033,0.0,0.0004,0.0,0.0025
2021-01-27,-0.0253,0.0133,0.0156,0.0,-0.0062
2021-01-28,0.0093,-0.0192,-0.0093,0.0,0.0016
2021-01-29,-0.0184,0.0059,0.0059,0.0,0.0021
2021-02-01,0.0172,0.0093,-0.0148,0.0,0.0129
2021-02-02,0.0148,-0.0088,-0.0103,0.0,-0.0006
2021-02-03,0.0014,0.004,0.0072,0.0,-0.0093
2021-02-04,0.0122,0.0038,0.0038,0.0,-0.0043
2021-02-05,0.0057,0.0108,-0.0048,0.0,0.0043
2021-02-08,0.0096,0.0209,0.0038,0.0,0.0045
2021-02-09,0.0005,0.0064,-0.0006,0.0,0.0041
2021-02-10,-0.0008,-0.006,0.0078,0.0,-0.0084
2021-02-11,0.002,-0.0004,-0.0068,0.0,0.0069
